Round,truthful_P1_TrueVal,truthful_P1_Bid,random_reasonable_P2_TrueVal,random_reasonable_P2_Bid,underbid_bayesian_P3_TrueVal,underbid_bayesian_P3_Bid,overbid_P4_TrueVal,overbid_P4_Bid,noisybr_P5_TrueVal,noisybr_P5_Bid,Winner_ID,,Winning_Bid,Second_Price,truthful_P1_Profit,truthful_P1_TotalProfit,random_reasonable_P2_Profit,random_reasonable_P2_TotalProfit,underbid_bayesian_P3_Profit,underbid_bayesian_P3_TotalProfit,overbid_P4_Profit,overbid_P4_TotalProfit,noisybr_P5_Profit,noisybr_P5_TotalProfit
1,135,135,950,1012,275,274,500,564,675,575,2,,1012,575,0,0,375,375,0,0,0,0,0,0
2,825,825,785,713,100,93,295,327,455,540,1,,825,713,112,112,0,375,0,0,0,0,0,0
3,505,505,655,717,245,244,805,851,255,294,4,,851,717,0,112,0,375,0,0,88,88,0,0
4,445,445,835,723,655,568,645,717,115,103,2,,723,717,0,112,118,494,0,0,0,88,0,0
5,455,455,995,993,655,654,105,118,255,241,2,,993,654,0,112,341,834,0,0,0,88,0,0
6,1000,1000,800,789,500,426,400,459,200,186,1,,1000,789,211,324,0,834,0,0,0,88,0,0
7,200,200,400,418,600,511,700,774,950,991,5,,991,774,0,324,0,834,0,0,0,88,176,176
8,275,275,455,411,990,893,655,711,245,225,3,,893,711,0,324,0,834,279,279,0,88,0,176
9,105,105,255,266,455,424,1000,1076,655,713,4,,1076,713,0,324,0,834,0,279,287,375,0,176
10,800,800,650,610,1000,877,250,267,450,426,3,,877,800,0,324,0,834,200,479,0,375,0,176
11,235,235,435,462,635,549,735,737,935,817,5,,817,737,0,324,0,834,0,479,0,375,198,374
12,795,795,100,100,256,239,545,580,995,948,5,,948,795,0,324,0,834,0,479,0,375,200,574
13,245,245,795,818,1000,853,255,279,500,532,3,,853,818,0,324,0,834,182,661,0,375,0,574
14,900,900,800,692,600,544,400,410,200,204,1,,900,692,208,531,0,834,0,661,0,375,0,574
15,575,575,785,856,995,862,250,268,450,450,3,,862,856,0,531,0,834,139,799,0,375,0,574
16,100,100,250,247,450,397,750,856,963,871,5,,871,856,0,531,0,834,0,799,0,375,107,681
17,250,250,150,128,550,528,950,973,650,635,4,,973,635,0,531,0,834,0,799,315,690,0,681
18,880,880,420,366,575,532,715,726,185,220,1,,880,726,154,686,0,834,0,799,0,690,0,681
19,935,935,215,230,550,498,750,815,325,330,1,,935,815,120,805,0,834,0,799,0,690,0,681
20,175,175,875,954,530,456,720,722,445,435,2,,954,722,0,805,153,987,0,799,0,690,0,681
21,255,255,650,720,805,720,795,853,100,119,4,,853,720,0,805,0,987,0,799,75,765,0,681
22,995,995,655,584,455,436,255,290,245,230,1,,995,584,411,1216,0,987,0,799,0,765,0,681
23,795,795,805,686,105,101,645,654,445,419,1,,795,686,109,1326,0,987,0,799,0,765,0,681
24,245,245,255,290,945,890,795,859,500,451,3,,890,859,0,1326,0,987,86,886,0,765,0,681
25,645,645,825,840,100,91,800,886,445,526,4,,886,840,0,1326,0,987,0,886,-40,724,0,681
26,500,500,800,797,400,348,1000,1137,250,295,4,,1137,797,0,1326,0,987,0,886,203,927,0,681
